Wandb initialized successfully.
/models/Final_project/Final-Project/gobang/utils.py:350: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  states = torch.tensor(states).to(torch.float32).to(device)
/models/Final_project/Final-Project/gobang/utils.py:360: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  float(torch.mean(torch.sum(policy * torch.log(policy + 1e-6), dim=1)))
Episode 0 / 5000: Actor Loss -0.004312185570597649, Critic Loss
Episode 1 / 5000: Actor Loss 0.011213036254048347, Critic Loss
Episode 2 / 5000: Actor Loss -0.01918860338628292, Critic Loss
Episode 3 / 5000: Actor Loss 0.013310465030372143, Critic Loss
Episode 4 / 5000: Actor Loss -0.02742666006088257, Critic Loss
Episode 5 / 5000: Actor Loss 0.01491408608853817, Critic Loss
Episode 6 / 5000: Actor Loss -0.00737793417647481, Critic Loss
Episode 7 / 5000: Actor Loss 0.0522182397544384, Critic Loss
Episode 8 / 5000: Actor Loss -0.0007719051209278405, Critic Loss
Episode 9 / 5000: Actor Loss 0.05416751280426979, Critic Loss
Episode 10 / 5000: Actor Loss -0.04044736176729202, Critic Loss
Episode 11 / 5000: Actor Loss 0.010127266868948936, Critic Loss
Episode 12 / 5000: Actor Loss 0.046914126724004745, Critic Loss
Episode 13 / 5000: Actor Loss 0.02488407865166664, Critic Loss
Episode 14 / 5000: Actor Loss 0.03059237077832222, Critic Loss
Episode 15 / 5000: Actor Loss 0.04947319254279137, Critic Loss
Episode 16 / 5000: Actor Loss 0.06015322729945183, Critic Loss
Episode 17 / 5000: Actor Loss 0.008843307383358479, Critic Loss
Episode 18 / 5000: Actor Loss 0.06250890344381332, Critic Loss
Episode 19 / 5000: Actor Loss 0.07775262743234634, Critic Loss
Episode 20 / 5000: Actor Loss 0.01612052135169506, Critic Loss
Episode 21 / 5000: Actor Loss 0.01676170714199543, Critic Loss
Episode 22 / 5000: Actor Loss 0.05846641957759857, Critic Loss
Episode 23 / 5000: Actor Loss -0.004914495628327131, Critic Loss
Episode 24 / 5000: Actor Loss 0.09389366954565048, Critic Loss
Episode 25 / 5000: Actor Loss 0.05411618947982788, Critic Loss
Episode 26 / 5000: Actor Loss 0.05501203238964081, Critic Loss
Episode 27 / 5000: Actor Loss 0.08850422501564026, Critic Loss
Episode 28 / 5000: Actor Loss 0.15303891897201538, Critic Loss
Episode 29 / 5000: Actor Loss 0.05167912319302559, Critic Loss
Episode 30 / 5000: Actor Loss 0.0881371945142746, Critic Loss
Episode 31 / 5000: Actor Loss 0.11050981283187866, Critic Loss
Episode 32 / 5000: Actor Loss 0.05637643486261368, Critic Loss
Episode 33 / 5000: Actor Loss 0.059650618582963943, Critic Loss
Episode 34 / 5000: Actor Loss 0.12137129157781601, Critic Loss
Episode 35 / 5000: Actor Loss 0.08234526962041855, Critic Loss
Episode 36 / 5000: Actor Loss 0.043884266167879105, Critic Loss
Episode 37 / 5000: Actor Loss 0.1538868546485901, Critic Loss
Episode 38 / 5000: Actor Loss 0.13423916697502136, Critic Loss
Episode 39 / 5000: Actor Loss -0.007666870951652527, Critic Loss
Episode 40 / 5000: Actor Loss 0.051959991455078125, Critic Loss
Episode 41 / 5000: Actor Loss 0.10285844653844833, Critic Loss
Episode 42 / 5000: Actor Loss 0.036260105669498444, Critic Loss
Episode 43 / 5000: Actor Loss -0.00032238257699646056, Critic Loss
Episode 44 / 5000: Actor Loss 0.08734313398599625, Critic Loss
Episode 45 / 5000: Actor Loss 0.10070059448480606, Critic Loss
Episode 46 / 5000: Actor Loss 0.11358049511909485, Critic Loss
Episode 47 / 5000: Actor Loss -0.014613972045481205, Critic Loss
Episode 48 / 5000: Actor Loss 0.13755381107330322, Critic Loss
Episode 49 / 5000: Actor Loss 0.1400781124830246, Critic Loss
Episode 50 / 5000: Actor Loss 0.014171813614666462, Critic Loss
Episode 51 / 5000: Actor Loss -0.04637022688984871, Critic Loss
Episode 52 / 5000: Actor Loss 0.07638989388942719, Critic Loss
Episode 53 / 5000: Actor Loss 0.10666637122631073, Critic Loss
Episode 54 / 5000: Actor Loss 0.04404402896761894, Critic Loss
Episode 55 / 5000: Actor Loss 0.05845571309328079, Critic Loss
Episode 56 / 5000: Actor Loss 0.18131481111049652, Critic Loss
Episode 57 / 5000: Actor Loss 0.1299472153186798, Critic Loss
Episode 58 / 5000: Actor Loss 0.11152978986501694, Critic Loss
Episode 59 / 5000: Actor Loss 0.14842954277992249, Critic Loss
Episode 60 / 5000: Actor Loss 0.09942680597305298, Critic Loss
Episode 61 / 5000: Actor Loss 0.11621354520320892, Critic Loss
Episode 62 / 5000: Actor Loss 0.08297978341579437, Critic Loss
Episode 63 / 5000: Actor Loss 0.11108571290969849, Critic Loss
Episode 64 / 5000: Actor Loss 0.05063161253929138, Critic Loss
Episode 65 / 5000: Actor Loss 0.10388687998056412, Critic Loss
Episode 66 / 5000: Actor Loss 0.14589890837669373, Critic Loss
Episode 67 / 5000: Actor Loss 0.13117201626300812, Critic Loss
Episode 68 / 5000: Actor Loss 0.13227880001068115, Critic Loss
Episode 69 / 5000: Actor Loss 0.20458361506462097, Critic Loss
Episode 70 / 5000: Actor Loss 0.07314690202474594, Critic Loss
Episode 71 / 5000: Actor Loss 0.17659538984298706, Critic Loss
Episode 72 / 5000: Actor Loss 0.09300336241722107, Critic Loss
Episode 73 / 5000: Actor Loss 0.11169306933879852, Critic Loss
Episode 74 / 5000: Actor Loss 0.12237387895584106, Critic Loss
Episode 75 / 5000: Actor Loss 0.09186200052499771, Critic Loss
Episode 76 / 5000: Actor Loss 0.12569576501846313, Critic Loss
Episode 77 / 5000: Actor Loss 0.17942297458648682, Critic Loss
Episode 78 / 5000: Actor Loss 0.16541361808776855, Critic Loss
Episode 79 / 5000: Actor Loss 0.11753629148006439, Critic Loss
Episode 80 / 5000: Actor Loss 0.189186230301857, Critic Loss
Episode 81 / 5000: Actor Loss 0.11218999326229095, Critic Loss
Episode 82 / 5000: Actor Loss 0.1787431836128235, Critic Loss
Episode 83 / 5000: Actor Loss 0.15174607932567596, Critic Loss
Episode 84 / 5000: Actor Loss 0.3528335392475128, Critic Loss
Episode 85 / 5000: Actor Loss 0.13115143775939941, Critic Loss
Episode 86 / 5000: Actor Loss 0.022478589788079262, Critic Loss
Episode 87 / 5000: Actor Loss 0.19105416536331177, Critic Loss
